time my_pulse
2.638635999999999779e-08 -4.499452142444438607e+01
2.639636999999999908e-08 -4.913991935330897576e+01
2.640638000000000038e-08 -4.984055291414821198e+01
2.641638999999999836e-08 -4.704337276383147781e+01
2.642639999999999965e-08 -4.094091594250411958e+01
2.643640999999999763e-08 -3.195841850317890476e+01
2.644641999999999893e-08 -2.072451386485095881e+01
2.645643000000000022e-08 -8.027511911298043756e+00
2.646643999999999820e-08 5.239720305718690518e+00
2.647644999999999949e-08 1.814243680392144142e+01
2.648645999999999748e-08 2.976985814607317948e+01
2.649646999999999877e-08 3.929954726820601962e+01
2.650648000000000006e-08 4.605575995645807552e+01
2.651648999999999804e-08 4.955761816148582000e+01
2.652649999999999934e-08 4.955365441647770552e+01
2.653650999999999732e-08 4.604022418192570143e+01
2.654651999999999861e-08 3.926241431271555626e+01
2.655652999999999990e-08 2.969731092335067757e+01
2.656653999999999789e-08 1.802074167733452725e+01
2.657654999999999918e-08 5.059787102296904315e+00
2.658655999999999716e-08 -8.265621412804206258e+00
2.659656999999999845e-08 -2.100790655617664981e+01
2.660657999999999975e-08 -3.225923811719414402e+01
2.661658999999999773e-08 -4.121632083055541074e+01
2.662659999999999902e-08 -4.723794621850053232e+01
2.663661000000000031e-08 -4.989117148852022865e+01
2.664661999999999830e-08 -4.898278069226209652e+01
2.665662999999999959e-08 -4.457371903978128103e+01
2.666663999999999757e-08 -3.697539794875444130e+01
2.667664999999999886e-08 -2.672806078745074743e+01
2.668666000000000016e-08 -1.456268529240952425e+01
2.669666999999999814e-08 -1.349086057173940034e+00
2.670667999999999943e-08 1.196611653251076568e+01
2.671668999999999741e-08 2.442724919318500554e+01
2.672669999999999871e-08 3.513821622508115894e+01
2.673671000000000000e-08 4.332707673982108787e+01
2.674671999999999798e-08 4.840190554557874236e+01
2.675672999999999927e-08 4.999387966719125842e+01
2.676673999999999726e-08 4.798443338902730204e+01
2.677674999999999855e-08 4.251445835690064712e+01
2.678675999999999984e-08 3.397481130743821609e+01
2.679676999999999782e-08 2.297873847631944244e+01
2.680677999999999912e-08 1.031813571624199177e+01
2.681679000000000041e-08 -3.093258168629032578e+00
2.682679999999999839e-08 -1.628567654359854444e+01
2.683680999999999968e-08 -2.830341801456295769e+01
2.684681999999999767e-08 -3.827415397305544076e+01
2.685682999999999896e-08 -4.547241967850964528e+01
2.686684000000000025e-08 -4.937265593843248723e+01
2.687684999999999823e-08 -4.968790529044642312e+01
2.688685999999999953e-08 -4.639129083601688563e+01
2.689686999999999751e-08 -3.971864480035385014e+01
2.690687999999999880e-08 -3.015201862339094063e+01
2.691689000000000009e-08 -1.838519825304878097e+01
2.692689999999999808e-08 -5.273665969216962068e+00
2.693690999999999937e-08 8.227403127429596452e+00
2.694691999999999735e-08 2.113263071622198552e+01
2.695692999999999864e-08 3.249836303221620426e+01
2.696693999999999994e-08 4.149178630420715308e+01
2.697694999999999792e-08 4.745215995077608540e+01
2.698695999999999921e-08 4.993965062457390047e+01
2.699696999999999720e-08 4.876813737593060694e+01
2.700697999999999849e-08 4.401951658544510337e+01
2.701698999999999978e-08 3.603838154641793778e+01
2.702699999999999776e-08 2.540738792760186016e+01
2.703700999999999905e-08 1.290503776710622041e+01
2.704702000000000035e-08 -5.510835469602543002e-01
2.705702999999999833e-08 -1.397149727647550854e+01
2.706703999999999962e-08 -2.636754028591944987e+01
2.707704999999999761e-08 -3.682425448319940386e+01
2.708705999999999890e-08 -4.456807941383213034e+01
2.709707000000000019e-08 -4.902432869347480704e+01
2.710707999999999817e-08 -4.986016189883552840e+01
2.711708999999999946e-08 -4.700981566027800085e+01
2.712709999999999745e-08 -4.068015514626927853e+01
2.713710999999999874e-08 -3.133605533166035784e+01
2.714712000000000003e-08 -1.966661399297024460e+01
2.715712999999999802e-08 -6.534624834638052882e+00
2.716713999999999931e-08 7.087006784345472710e+00
2.717714999999999729e-08 2.018723562318768927e+01
2.718715999999999858e-08 3.179192020837394139e+01
2.719716999999999987e-08 4.103636889394358178e+01
2.720717999999999786e-08 4.722997825069224120e+01
2.721718999999999915e-08 4.990811701222634156e+01
2.722720000000000044e-08 4.886733656098687817e+01
2.723720999999999843e-08 4.418121418477410600e+01
2.724721999999999972e-08 3.619556843861952444e+01
2.725722999999999770e-08 2.550332111551832881e+01
2.726723999999999899e-08 1.290080340027040862e+01
2.727725000000000028e-08 -6.712992978283977008e-01
2.728725999999999827e-08 -1.419800396228904660e+01
2.729726999999999956e-08 -2.666588311208289852e+01
2.730727999999999754e-08 -3.713905018077863218e+01
2.731728999999999884e-08 -4.482957604119074801e+01
2.732730000000000013e-08 -4.915702673319925253e+01
2.733730999999999811e-08 -4.979260481019486662e+01
2.734731999999999940e-08 -4.668451317915610588e+01
2.735732999999999739e-08 -4.006255746423168773e+01
2.736733999999999868e-08 -3.042155715019811879e+01
2.737734999999999997e-08 -1.848473087704578077e+01
2.738735999999999795e-08 -5.149737186985889004e+00
2.739736999999999925e-08 8.578626156569445271e+00
2.740737999999999723e-08 2.166403450978856071e+01
2.741738999999999852e-08 3.311687854221892735e+01
2.742739999999999981e-08 4.206922869621448058e+01
2.743740999999999780e-08 4.784083453207711756e+01
2.744741999999999909e-08 4.999112384897853900e+01
2.745743000000000038e-08 4.835320402092685299e+01
2.746743999999999836e-08 4.304721447393337286e+01
2.747744999999999966e-08 3.447193432701679683e+01
2.748745999999999764e-08 2.327519605259197633e+01
2.749746999999999893e-08 1.030526992512128714e+01
2.750748000000000022e-08 -3.453157990309139169e+00
2.751748999999999821e-08 -1.695360149024528340e+01
2.752749999999999950e-08 -2.916734089313144551e+01
2.753750999999999748e-08 -3.916189401593149455e+01
2.754751999999999877e-08 -4.617239992935211745e+01
2.755753000000000007e-08 -4.966043693687321792e+01
2.756753999999999805e-08 -4.935573064923075748e+01
2.757754999999999934e-08 -4.527749502579286656e+01
2.758755999999999732e-08 -3.773369249718684415e+01
2.759756999999999862e-08 -2.729818214969817447e+01
2.760757999999999991e-08 -1.476741931748800596e+01
2.761758999999999789e-08 -1.099945907163448533e+00
2.762759999999999918e-08 1.265675332057038283e+01
2.763760999999999717e-08 2.544646155020670619e+01
2.764761999999999846e-08 3.628537159834721137e+01
2.765762999999999975e-08 4.433792194743472237e+01
2.766763999999999773e-08 4.898146972237526597e+01
2.767764999999999903e-08 4.985477556178673808e+01
2.768766000000000032e-08 4.688649952447511993e+01
2.769766999999999830e-08 4.030143115807545229e+01
2.770767999999999959e-08 3.060388482897422691e+01
2.771768999999999758e-08 1.853945255134106773e+01
2.772769999999999887e-08 5.037985033166942905e+00
2.773771000000000016e-08 -8.857862880630639424e+00
2.774771999999999814e-08 -2.207304850126974571e+01
2.775772999999999944e-08 -3.358332569325839501e+01
2.776773999999999742e-08 -4.249476025700489146e+01
2.777774999999999871e-08 -4.811339377127492867e+01
2.778776000000000000e-08 -4.999960931699099831e+01
2.779776999999999799e-08 -4.800291556283743688e+01
2.780777999999999928e-08 -4.227436803942425314e+01
2.781778999999999726e-08 -3.325557323746343030e+01
2.782779999999999855e-08 -2.164503934942860752e+01
2.783780999999999985e-08 -8.344405918790688048e+00
2.784781999999999783e-08 5.611334831458650640e+00
2.785782999999999912e-08 1.913424412151052678e+01
2.786783999999999710e-08 3.116823455470802529e+01
2.787784999999999840e-08 4.077165211850472559e+01
2.788785999999999969e-08 4.719117704575539562e+01
2.789786999999999767e-08 4.992122754402925011e+01
2.790787999999999896e-08 4.874415850297174302e+01
2.791789000000000026e-08 4.374803023832373583e+01
2.792789999999999824e-08 3.532046610894614957e+01
2.793790999999999953e-08 2.411898718787333351e+01
2.794791999999999751e-08 1.102006103746884591e+01
2.795792999999999881e-08 -2.949215392257797941e+00
2.796794000000000010e-08 -1.669149501697555138e+01
2.797794999999999808e-08 -2.912534456780926462e+01
2.798795999999999937e-08 -3.927043120121069109e+01
2.799796999999999736e-08 -4.632501545563447110e+01
2.800797999999999865e-08 -4.972960987517614484e+01
2.801798999999999994e-08 -4.921172594161675562e+01
2.802799999999999792e-08 -4.480810193598639302e+01
2.803800999999999922e-08 -3.686256726754121615e+01
2.804801999999999720e-08 -2.599961700040149992e+01
2.805802999999999849e-08 -1.307569289269360446e+01
2.806803999999999978e-08 8.880580112872652476e-01
2.807804999999999777e-08 1.478629088819781678e+01
2.808805999999999906e-08 2.751690406385229437e+01
