time my_pulse
9.500491000000000047e-08 -4.382905565437417161e-01
9.501491999999999515e-08 -9.047783597000650518e-04
9.502492999999998982e-08 4.367539686172326463e-01
9.503493999999999773e-08 7.864126442887280355e-01
9.504494999999999241e-08 9.774596067318844783e-01
9.505496000000000032e-08 9.712259395372595527e-01
9.506496999999999499e-08 7.688435460059788173e-01
9.507497999999998967e-08 4.110768963218087158e-01
9.508498999999999758e-08 -2.985677878200497168e-02
9.509499999999999225e-08 -4.648438472950226497e-01
9.510501000000000016e-08 -8.058774742072883912e-01
9.511501999999999483e-08 -9.838719939150476490e-01
9.512502999999998951e-08 -9.626807391107693457e-01
9.513503999999999742e-08 -7.464685119120429979e-01
9.514504999999999209e-08 -3.789286406045436206e-01
9.515506000000000000e-08 6.551612497297075455e-02
9.516506999999999468e-08 4.967631787362921658e-01
9.517507999999998935e-08 8.272909531079156720e-01
9.518508999999999726e-08 9.899314470151295842e-01
9.519509999999999194e-08 9.515434311962255309e-01
9.520510999999999985e-08 7.197981602383718425e-01
9.521511999999999452e-08 3.416816997425230484e-01
9.522512999999998919e-08 -1.060013084370928643e-01
9.523513999999999710e-08 -5.322093788400084069e-01
9.524514999999999178e-08 -8.501742180111097058e-01
9.525515999999999969e-08 -9.950766310092682421e-01
9.526516999999999436e-08 -9.372851923930715090e-01
9.527518000000000227e-08 -6.884488134775099688e-01
9.528518999999999695e-08 -2.991838555451886150e-01
9.529519999999999162e-08 1.511924177440803763e-01
9.530520999999999953e-08 5.708057485239228512e-01
9.531521999999999421e-08 8.739639929101902238e-01
9.532523000000000211e-08 9.986699179925088155e-01
9.533523999999999679e-08 9.193260138296270867e-01
9.534524999999999146e-08 6.520225121083996767e-01
9.535525999999999937e-08 2.513094153899769201e-01
9.536526999999999405e-08 -2.009072224205558088e-01
9.537528000000000196e-08 -6.120904981686696722e-01
9.538528999999999663e-08 -8.980074783962435081e-01
9.539529999999999131e-08 -9.999994567322444405e-01
9.540530999999999922e-08 -8.970437699801991904e-01
9.541531999999999389e-08 -6.101213882260524413e-01
9.542533000000000180e-08 -1.979759907949765196e-01
9.543533999999999647e-08 2.548855136980917035e-01
9.544534999999999115e-08 6.555056180842551150e-01
9.545535999999999906e-08 9.215583070029664814e-01
9.546536999999999373e-08 9.982833290769238532e-01
9.547538000000000164e-08 8.697859599151559484e-01
9.548538999999999632e-08 5.623647144341599180e-01
9.549539999999999099e-08 1.391633500854816408e-01
9.550540999999999890e-08 -3.127724624828627231e-01
9.551541999999999358e-08 -7.003861194865517170e-01
9.552543000000000149e-08 -9.437741890132190781e-01
9.553543999999999616e-08 -9.926763849035654674e-01
9.554544999999999083e-08 -8.368845484448184102e-01
9.555545999999999874e-08 -5.084087911841194130e-01
9.556546999999999342e-08 -7.493419837398361538e-02
9.557548000000000133e-08 3.741014304005815250e-01
9.558548999999999600e-08 7.459502855231423535e-01
9.559549999999999068e-08 9.637169584145417467e-01
9.560550999999999859e-08 9.822803814094271946e-01
9.561551999999999326e-08 7.976743078410513110e-01
9.562553000000000117e-08 4.479697513970965495e-01
9.563553999999999585e-08 5.456612741504471981e-03
9.564554999999999052e-08 -4.382768094849325835e-01
9.565555999999999843e-08 -7.912916948660009275e-01
9.566556999999999310e-08 -9.803558062314490229e-01
9.567558000000000101e-08 -9.661580649851521096e-01
9.568558999999999569e-08 -7.515150023528684997e-01
9.569559999999999036e-08 -3.808492418802923440e-01
9.570560999999999827e-08 6.897229538918343839e-02
9.571561999999999295e-08 5.045576248297484190e-01
9.572563000000000086e-08 8.353739061549242395e-01
9.573563999999999553e-08 9.925745512416285221e-01
9.574564999999999021e-08 9.433518166229326596e-01
9.575565999999999811e-08 6.978176606905401869e-01
9.576566999999999279e-08 3.069627826316125851e-01
9.577568000000000070e-08 -1.479021053695872556e-01
9.578568999999999537e-08 -5.720428084670324820e-01
9.579569999999999005e-08 -8.770288128419116980e-01
9.580570999999999796e-08 -9.991838368786069013e-01
9.581571999999999263e-08 -9.129074256849619706e-01
9.582573000000000054e-08 -6.360750390852987213e-01
9.583573999999999522e-08 -2.263704045496814365e-01
9.584574999999998989e-08 2.307050303863280860e-01
9.585575999999999780e-08 6.396592355611039338e-01
9.586576999999999247e-08 9.149597850507313890e-01
9.587578000000000038e-08 9.989391468847790279e-01
9.588578999999999506e-08 8.739034519492502318e-01
9.589579999999998973e-08 5.658961829424271617e-01
9.590580999999999764e-08 1.393089219182151728e-01
9.591581999999999232e-08 -3.165531495447881927e-01
9.592583000000000023e-08 -7.061537965065406430e-01
9.593583999999999490e-08 -9.477507956368146358e-01
9.594584999999998958e-08 -9.905654882886928414e-01
9.595585999999999749e-08 -8.254864718950652991e-01
9.596586999999999216e-08 -4.870447431490222967e-01
9.597588000000000007e-08 -4.622490933718639144e-02
9.598588999999999474e-08 4.043982580551597761e-01
9.599589999999998942e-08 7.700909481789274258e-01
9.600590999999999733e-08 9.738827667723120030e-01
9.601591999999999200e-08 9.727894844954838582e-01
9.602592999999999991e-08 7.669122723025930677e-01
9.603593999999999459e-08 3.994803905080113182e-01
9.604594999999998926e-08 -5.219287203457035479e-02
9.605595999999999717e-08 -4.929559285316076900e-01
9.606596999999999185e-08 -8.298573282434256182e-01
9.607597999999999975e-08 -9.917583536863968652e-01
9.608598999999999443e-08 -9.443794389720482352e-01
9.609599999999998910e-08 -6.975927438778931622e-01
9.610600999999999701e-08 -3.034022984064288497e-01
9.611601999999999169e-08 1.549832083210752887e-01
9.612602999999999960e-08 5.806956303427899257e-01
9.613603999999999427e-08 8.836751081881220049e-01
9.614605000000000218e-08 9.997362842101723546e-01
9.615605999999999686e-08 9.041936566765216288e-01
9.616606999999999153e-08 6.171478337594050734e-01
9.617607999999999944e-08 1.992932339861316071e-01
9.618608999999999411e-08 -2.608863058471620477e-01
9.619610000000000202e-08 -6.658389767809828053e-01
9.620610999999999670e-08 -9.296257800834351048e-01
9.621611999999999137e-08 -9.961761758215975648e-01
9.622612999999999928e-08 -8.512369330412866697e-01
9.623613999999999396e-08 -5.254614365100208628e-01
9.624615000000000187e-08 -8.796232183134958249e-02
9.625615999999999654e-08 3.683241467982970030e-01
9.626616999999999122e-08 7.463683352692321860e-01
9.627617999999999913e-08 9.656859924119132188e-01
9.628618999999999380e-08 9.794944352433303525e-01
9.629620000000000171e-08 7.847246291729582657e-01
9.630620999999999638e-08 4.227395423938112851e-01
9.631621999999999106e-08 -2.941596120369106143e-02
9.632622999999999897e-08 -4.753900037072226747e-01
9.633623999999999364e-08 -8.200481123398144501e-01
9.634625000000000155e-08 -9.897768430376503446e-01
9.635625999999999623e-08 -9.482313903159088619e-01
9.636626999999999090e-08 -7.041531424262132965e-01
9.637627999999999881e-08 -3.095683310122325782e-01
9.638628999999999349e-08 1.512695101049352786e-01
9.639630000000000139e-08 5.798500542921443124e-01
9.640630999999999607e-08 8.844609767300534164e-01
9.641631999999999074e-08 9.998276734556642564e-01
9.642632999999999865e-08 9.011291948348785219e-01
9.643633999999999333e-08 6.093748567473175060e-01
9.644635000000000124e-08 1.869692190451330838e-01
9.645635999999999591e-08 -2.756064613724252821e-01
9.646636999999999059e-08 -6.791601946043464011e-01
9.647637999999999850e-08 -9.370610714504550298e-01
9.648638999999999317e-08 -9.938548607914163835e-01
9.649640000000000108e-08 -8.372192760894366925e-01
9.650640999999999575e-08 -5.006748306151529437e-01
9.651641999999999043e-08 -5.644717589262952112e-02
9.652642999999999834e-08 4.000070335312411185e-01
9.653643999999999301e-08 7.705011473768391683e-01
9.654645000000000092e-08 9.752458489926868479e-01
9.655645999999999560e-08 9.700553505258419085e-01
9.656646999999999027e-08 7.559171639038211321e-01
9.657647999999999818e-08 3.788455785931260089e-01
9.658648999999999286e-08 -7.997204340128580280e-02
9.659650000000000077e-08 -5.216334285777964874e-01
9.660650999999999544e-08 -8.508347507429390166e-01
9.661651999999999011e-08 -9.964475050233690956e-01
9.662652999999999802e-08 -9.269137004470380248e-01
9.663653999999999270e-08 -6.571214648104792833e-01
9.664655000000000061e-08 -2.452553677794107045e-01
9.665655999999999528e-08 2.197206721715684041e-01
9.666656999999998996e-08 6.372619504543378666e-01
9.667657999999999787e-08 9.169838352761833233e-01
9.668658999999999254e-08 9.982440535203057630e-01
9.669660000000000045e-08 8.633202151738544883e-01
9.670660999999999513e-08 5.413125590289756817e-01
9.671661999999998980e-08 1.019045430985525413e-01
9.672662999999999771e-08 -3.596890458147886660e-01
9.673663999999999238e-08 -7.433412921160740261e-01
9.674665000000000029e-08 -9.657373023675162038e-01
9.675665999999999497e-08 -9.784888606239457998e-01
9.676666999999998964e-08 -7.786963596277456379e-01
9.677667999999999755e-08 -4.096453559444033776e-01
9.678668999999999223e-08 4.853640505948956380e-02
9.679670000000000014e-08 4.962525443482739829e-01
9.680670999999999481e-08 8.360803934929661452e-01
9.681671999999998949e-08 9.939808605759342663e-01
9.682672999999999739e-08 9.354559338519596867e-01
9.683673999999999207e-08 6.731220917412776839e-01
9.684674999999999998e-08 2.640292248770454431e-01
9.685675999999999465e-08 -2.027139122199600463e-01
